Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQuality_Class
3/17/2005,19:00:00,3.9,1358,-200,21.3,1331,531,459,214,1518,1523,20.2,29.3,0.686,4
6/18/2004,15:00:00,2.1,1078,-200,12.6,1069,109,782,126,1780,806,37.3,21.9,1.3761,4
9/10/2004,17:00:00,2.7,1146,-200,14.3,1125,363,846,149,1511,1016,33.4,20.3,1.027,4
7/16/2004,23:00:00,2.2,1090,-200,13.6,1103,142,695,119,1686,1235,25.7,33.5,1.0918,4
7/14/2004,8:00:00,4.6,1339,-200,30.4,1561,366,498,145,2357,1791,22.1,41.7,1.098,4
3/9/2005,10:00:00,3.8,1374,-200,18.5,1255,733,504,215,1375,1855,8.3,43.5,0.4774,4
10/27/2004,13:00:00,4.1,1351,-200,21.8,1345,538,502,117,1923,1420,19.5,67.1,1.506,4
12/7/2004,17:00:00,2.6,1175,-200,13.9,1112,350,628,110,1484,1212,16.5,54.6,1.0164,4
4/30/2004,0:00:00,2.3,1297,170,11.1,1019,137,733,85,1823,1217,16.2,76.9,1.4051,4
9/2/2004,9:00:00,3.3,1258,-200,18.7,1261,406,514,96,1940,1603,26.2,45.0,1.5098,4
4/9/2004,19:00:00,3.4,-200,303,-200.0,-200,197,-200,137,-200,-200,-200.0,-200.0,-200.0,4
10/7/2004,19:00:00,6.7,1747,-200,37.1,1709,515,399,128,2370,1876,24.0,50.6,1.4892,4
12/4/2004,13:00:00,3.1,1224,-200,11.9,1046,580,630,124,1476,1213,11.8,86.5,1.1981,4
3/17/2005,15:00:00,2.1,1199,-200,11.8,1041,320,574,158,1271,986,28.3,17.9,0.6769,4
2/17/2005,2:00:00,2.3,1102,-200,7.9,897,326,715,173,1024,1196,5.7,42.1,0.3885,4
3/19/2004,18:00:00,4.1,1442,-200,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989,4
10/30/2004,18:00:00,4.3,1440,-200,22.4,1362,532,486,117,1968,1496,21.6,68.0,1.7305,4
6/8/2004,21:00:00,2.8,1145,-200,15.7,1170,157,751,123,1894,1376,26.7,35.4,1.2233,4
12/23/2004,21:00:00,7.2,1564,-200,26.3,1462,1076,472,228,1574,2181,6.3,57.9,0.5575,4
10/10/2004,12:00:00,2.3,1228,-200,9.3,952,301,668,81,1622,1110,24.5,58.8,1.7838,4
2/11/2005,19:00:00,7.1,-200,-200,-200.0,-200,1075,-200,289,-200,-200,-200.0,-200.0,-200.0,4
12/25/2004,18:00:00,4.6,1651,-200,17.8,1234,527,501,184,1513,2020,11.2,70.8,0.9386,4
8/27/2004,7:00:00,2.4,-200,-200,-200.0,-200,201,-200,68,-200,-200,-200.0,-200.0,-200.0,4
6/29/2004,13:00:00,2.5,1214,-200,15.7,1170,136,681,133,1963,1054,37.8,24.4,1.5722,4
12/19/2004,13:00:00,3.2,1136,-200,12.5,1067,477,702,148,1143,1298,7.4,44.6,0.4613,4
8/6/2004,8:00:00,3.0,1307,-200,19.1,1270,240,516,84,2191,1404,22.5,74.9,2.019,4
4/29/2004,17:00:00,4.9,1560,651,24.8,1424,247,579,143,2176,1688,20.8,45.3,1.1016,4
3/12/2004,18:00:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766,4
12/17/2004,12:00:00,3.6,-200,-200,-200.0,-200,635,-200,213,-200,-200,-200.0,-200.0,-200.0,4
6/7/2004,13:00:00,2.5,1023,-200,14.9,1147,185,829,115,1842,983,34.4,20.4,1.0857,4
2/15/2005,20:00:00,3.1,1149,-200,14.2,1124,410,623,187,1141,1405,8.9,26.9,0.3069,4
4/30/2004,14:00:00,2.6,1310,210,15.4,1160,153,695,94,1939,1224,21.4,50.9,1.2823,4
7/13/2004,8:00:00,5.0,1257,-200,27.6,1495,379,524,129,2245,1647,19.2,48.8,1.0751,4
1/9/2005,17:00:00,2.2,1210,-200,8.8,933,348,648,156,1327,1094,15.7,54.4,0.9616,4
11/28/2004,20:00:00,4.5,1382,-200,16.5,1196,605,573,127,1543,1468,10.4,74.6,0.9394,4
2/1/2005,11:00:00,4.5,1533,-200,21.4,1334,985,466,218,1434,2118,5.8,54.1,0.502,4
6/30/2004,16:00:00,2.3,1134,-200,12.7,1073,171,747,168,1765,1022,39.7,20.4,1.4594,4
11/10/2004,21:00:00,3.9,1172,-200,15.3,1159,580,621,193,1461,1243,10.3,71.1,0.8878,4
3/25/2004,10:00:00,2.3,1133,300,8.8,933,133,969,99,1552,923,9.7,69.7,0.8389,4
2/26/2005,1:00:00,2.1,1061,-200,6.8,849,373,757,145,1063,1125,4.0,69.8,0.5756,4
1/31/2005,13:00:00,2.5,1060,-200,11.9,1048,414,707,181,983,1246,12.5,17.2,0.2477,4
2/26/2005,1:00:00,2.1,1061,-200,6.8,849,373,757,145,1063,1125,4.0,69.8,0.5756,4
5/10/2004,18:00:00,3.6,1267,-200,22.0,1352,188,651,124,1961,1196,21.0,37.8,0.9298,4
11/19/2004,0:00:00,2.4,1071,-200,7.7,885,284,740,133,1298,1090,15.7,60.9,1.0774,4
